	#	rad	RA	Dec	Plx	e	pmRA	e.1	pmDE	e.2	RUWE	Gmag	e.3	BPmag	e.4	RPmag	e.5	RVDR2	e.6	Tefftemp	loggtemp	dist	RAs	Decs	Ns	Nd	Ng	Nr	Ni	Nz	Ny	gmag	rmag	imag	zmag	ymag
68	1.9064	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0082	0.294	10.0	0.299	20.0877	19.546389	0.004269	19.1947	0.121672	18.4469	0.02847	17.9331	99.99		99.9		312.71359018	44.34844962	0.007	51.0	5.0	11.0	15.0	11.0	9.0	21.7935	0.1101	0.0332	0.0134	0.0112	0.0236
69	1.9101	312.8627924158662	44.3487278029122	0.4648	0.2887	0.1079	0.294	6.0	0.299	99.9999	19.546389	0.004269	21.9743	0.121672	21.2369	0.02847	20.1288	99.99		99.9		312.72196555	44.34193576	0.1938	7.0	0.0	0.0	3.0	3.0	1.0	999.9999	99.9999	99.9999	0.1708	0.1093	0.1847
70	1.9114	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0131	0.294	10.0	0.299	18.33	19.546389	0.004269	17.4647	0.121672	16.8964	0.02847	16.457	99.99		99.9		312.73900071	44.33579605	0.0072	52.0	10.0	10.0	13.0	11.0	8.0	19.7464	0.0239	0.0196	0.0029	0.0036	0.0039
71	1.9125	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0109	0.294	10.0	0.299	21.2746	19.546389	0.004269	19.9686	0.121672	18.8181	0.02847	18.2792	99.99		99.9		312.78714065	44.34903618	0.009	44.0	0.0	11.0	15.0	9.0	9.0	20.715	99.9999	0.1108	0.0328	0.0245	0.0291
72	1.9133	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0713	0.294	5.0	0.299	22.618	19.546389	0.004269	20.861	0.121672	21.1977	0.02847	19.8943	99.99		99.9		312.72681311	44.33942684	0.0637	7.0	0.0	0.0	0.0	3.0	4.0	25.311	99.9999	99.9999	99.9999	0.1489	0.2064
73	1.9208	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0257	0.294	6.0	0.299	17.582	19.546389	0.004269	21.6565	0.121672	20.2427	0.02847	19.2499	99.99		99.9		312.7336541	44.33686276	0.029	23.0	0.0	0.0	4.0	10.0	9.0	18.423	99.9999	99.9999	0.173	0.0398	0.0254
74	1.9229	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0163	0.294	10.0	0.299	17.161	19.546389	0.004269	15.9909	0.121672	15.301	0.02847	14.7824	99.99		99.9		312.74355627	44.33495112	0.0033	50.0	10.0	10.0	11.0	11.0	8.0	19.0105	0.0157	0.0097	0.0013	0.0026	0.0055
75	1.9234	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0341	0.294	3.0	0.299	99.9999	19.546389	0.004269	21.5097	0.121672	20.5427	0.02847	19.6357	99.99		99.9		312.78487106	44.34651768	0.075	16.0	1.0	0.0	5.0	6.0	4.0	16.3401	0.0031	99.9999	0.0243	0.0694	0.0395
76	1.9293	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0202	0.294	10.0	0.299	20.6659	19.546389	0.004269	18.4875	0.121672	17.2244	0.02847	16.5746	99.99		99.9		312.71547627	44.34606086	0.013	48.0	2.0	10.0	15.0	11.0	10.0	21.6859	0.142	0.0464	0.0091	0.0225	0.0293
77	1.9305	312.8627924158662	44.3487278029122	0.4648	0.2887	0.1021	0.294	3.0	0.299	99.9999	19.546389	0.004269	99.9999	0.121672	21.2622	0.02847	99.9999	99.99		99.9		312.78331031	44.3450331	0.1021	3.0	0.0	0.0	0.0	3.0	0.0	999.9999	99.9999	99.9999	99.9999	0.1395	99.9999
78	1.9401	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0075	0.294	10.0	0.299	19.8012	19.546389	0.004269	18.6759	0.121672	18.002	0.02847	17.5033	99.99		99.9		312.73061377	44.3374543	0.0048	61.0	13.0	14.0	14.0	11.0	9.0	21.2784	0.035	0.0286	0.011	0.004	0.0137
79	1.9434	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0218	0.294	8.0	0.299	21.5383	19.546389	0.004269	20.3609	0.121672	19.525	0.02847	19.0928	99.99		99.9		312.72561094	44.33937161	0.018	40.0	0.0	7.0	15.0	9.0	9.0	999.9999	99.9999	0.0488	0.0304	0.0404	0.0314
80	1.9519	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0265	0.294	10.0	0.299	20.5763	19.546389	0.004269	19.5594	0.121672	18.8773	0.02847	18.3645	99.99		99.9		312.74083272	44.33480297	0.0589	42.0	4.0	9.0	11.0	11.0	7.0	22.1214	0.075	0.0582	0.0158	0.0084	0.0136
81	1.9525	312.8627924158662	44.3487278029122	0.4648	0.2887	0.1016	0.294	3.0	0.299	99.9999	19.546389	0.004269	20.7503	0.121672	21.3337	0.02847	20.1055	99.99		99.9		312.78106406	44.34288429	0.1016	5.0	2.0	0.0	1.0	1.0	1.0	999.9999	99.9999	99.9999	0.1783	0.1658	0.1831
82	1.9702	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0193	0.294	10.0	0.299	19.5446	19.546389	0.004269	18.4979	0.121672	17.8423	0.02847	17.3542	99.99		99.9		312.75383386	44.33394543	0.012	51.0	10.0	12.0	12.0	10.0	7.0	21.1546	0.0397	0.0197	0.0033	0.0052	0.0082
83	1.9743	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0133	0.294	4.0	0.299	20.9076	19.546389	0.004269	20.1866	0.121672	19.4197	0.02847	18.8353	99.99		99.9		312.71316221	44.34694277	0.0102	39.0	0.0	6.0	15.0	10.0	8.0	999.9999	99.9999	0.0602	0.011	0.047	0.056
84	1.9775	312.8627924158662	44.3487278029122	0.4648	0.2887	0.029	0.294	8.0	0.299	21.6248	19.546389	0.004269	20.5852	0.121672	19.9636	0.02847	19.1803	99.99		99.9		312.71999522	44.34164699	0.0167	35.0	0.0	5.0	15.0	9.0	6.0	999.9999	99.9999	0.0503	0.0327	0.0414	0.0117
85	1.9886	312.8627924158662	44.3487278029122	0.4648	0.2887	0.09	0.294	4.0	0.299	21.3595	19.546389	0.004269	20.6076	0.121672	19.6842	0.02847	18.9906	99.99		99.9		312.78861678	44.34833332	0.0931	30.0	1.0	2.0	12.0	9.0	6.0	16.3363	0.003	0.1207	0.0168	0.0335	0.0423
86	1.9893	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0385	0.294	3.0	0.299	99.9999	19.546389	0.004269	21.3829	0.121672	20.5109	0.02847	20.048	99.99		99.9		312.7825027	44.34302024	0.0385	9.0	0.0	0.0	4.0	3.0	2.0	999.9999	99.9999	99.9999	0.0895	0.0375	0.0607
87	1.9924	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0159	0.294	3.0	0.299	21.3158	19.546389	0.004269	99.9999	0.121672	21.5179	0.02847	99.9999	99.99		99.9		312.78647723	44.34611254	0.0159	3.0	1.0	1.0	0.0	1.0	0.0	17.5394	0.0055	0.1567	99.9999	0.1951	99.9999
88	2.007	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0202	0.294	8.0	0.299	21.2778	19.546389	0.004269	20.5315	0.121672	19.8029	0.02847	19.2345	99.99		99.9		312.73885933	44.33417876	0.016	28.0	0.0	4.0	10.0	8.0	6.0	999.9999	99.9999	0.1454	0.0247	0.0464	0.0629
