#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 1.0131  312.8395554054849  +44.3460548380411      0.1461  1.0095      0.186  1.146      0.083  1.209     1.053  20.798914  0.012414  21.970380  0.188477  19.665173  0.090199  9999.99 99.99   9999.9     99.9
 1.0305  312.8871496559782  +44.3468360089367      1.5945  1.1334     -0.234  1.396     -4.488  1.265     1.000  20.813652  0.011314  21.851755  0.485326  19.632318  0.065324  9999.99 99.99   9999.9     99.9
 1.0320  312.8391682030188  +44.3467250415877     -0.5723  1.3975     -4.510  1.325     -8.827  1.407     1.124  20.799908  0.012334  22.114347  0.268793  19.622120  0.126656  9999.99 99.99   9999.9     99.9
 1.0520  312.8689535473382  +44.3629444811986     -0.9381  0.7842     -2.924  0.858     -3.231  0.757     1.064  20.576033  0.008192  21.675632  0.174650  19.284400  0.064677  9999.99 99.99   9999.9     99.9
 1.0527  312.8808421118825  +44.3337236772360      0.0723  0.4810     -3.237  0.507     -3.811  0.529     1.090  20.150864  0.005610  22.070053  0.230850  18.679258  0.027746  9999.99 99.99   9999.9     99.9
 1.0774  312.8682257870100  +44.3283011005600  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.007044  0.025446  20.981863  0.283966  20.026985  0.224575  9999.99 99.99   9999.9     99.9
 1.0781  312.8881976765060  +44.3441404545309      0.4616  0.1406     -4.620  0.147     -4.564  0.155     1.074  18.435947  0.003291  20.004232  0.057524  17.239357  0.010236  9999.99 99.99   9999.9     99.9
 1.0816  312.8572544255977  +44.3634278864905      1.9482  0.5660     -1.900  0.589     -3.778  0.617     1.141  20.192251  0.006037  21.372662  0.197496  18.741905  0.030174  9999.99 99.99   9999.9     99.9
 1.0820  312.8874631400574  +44.3410628174815      0.8860  1.0319     -2.079  0.842     -6.629  1.267     0.946  20.531357  0.013142  21.307207  0.206233  18.658040  0.034224  9999.99 99.99   9999.9     99.9
 1.0863  312.8827950635800  +44.3344562948700  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.011116  0.018717  21.699627  0.424554  20.051876  0.138678  9999.99 99.99   9999.9     99.9
 1.0893  312.8876178862300  +44.3410051203500  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  20.370184  0.032217  21.326700  0.276475  18.602606  0.040933  9999.99 99.99   9999.9     99.9
 1.1041  312.8887406875042  +44.3481107492530      1.2305  0.4140     -3.893  0.416     -6.866  0.414     1.061  19.860233  0.004982  21.304443  0.124981  18.622551  0.026501  9999.99 99.99   9999.9     99.9
 1.1105  312.8700829795934  +44.3637548495357     -0.4717  1.1676     -3.534  1.410     -5.980  1.919     1.041  20.890340  0.013667  21.699133  0.249121  19.481417  0.111127  9999.99 99.99   9999.9     99.9
 1.1231  312.8462095154800  +44.3601494932800  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  20.867120  0.022633  99.999999 99.999999  99.999999 99.999999  9999.99 99.99   9999.9     99.9
 1.1355  312.8621175365497  +44.3648050229433      0.5534  0.1803      0.143  0.199     -1.452  0.204     0.975  18.962463  0.003637  20.385174  0.057820  17.818160  0.018342  9999.99 99.99   9999.9     99.9
 1.1473  312.8458004158881  +44.3604387940938     -0.4330  0.4203     -3.249  0.398     -4.706  0.422     1.014  19.970217  0.005421  21.176592  0.136525  18.381544  0.042346  9999.99 99.99   9999.9     99.9
 1.1719  312.8870850704766  +44.3553370784431      0.5459  0.5170     -1.083  0.562     -1.866  0.563     0.961  20.353434  0.006609  21.057426  0.107525  18.880615  0.040845  9999.99 99.99   9999.9     99.9
 1.1753  312.8901584756238  +44.3424269241811      0.6830  0.4434     -4.423  0.478      4.418  0.497     1.138  20.059847  0.005541  21.379019  0.137598  18.739733  0.026442  9999.99 99.99   9999.9     99.9
 1.1792  312.8847352032158  +44.3337062809176     -0.0282  0.5061     -2.818  0.526     -2.369  0.546     1.060  20.327010  0.007078  21.530410  0.177826  18.871891  0.031786  9999.99 99.99   9999.9     99.9
 1.1935  312.8358195869963  +44.3423033996309      1.2338  0.0454     -1.033  0.049     -3.940  0.051     1.031  16.467842  0.002994  18.211704  0.016770  15.196583  0.004790  9999.99 99.99   9999.9     99.9
 1.2006  312.8814749778497  +44.3307324157509      1.9221  0.6900     -6.883  0.822      0.016  0.723     1.069  20.480022  0.007451  21.309788  0.190812  19.213253  0.056280  9999.99 99.99   9999.9     99.9
 1.2071  312.8354079874993  +44.3490234116498      0.3662  0.2505     -6.365  0.250     -8.286  0.278     0.967  19.349850  0.004321  21.034443  0.141521  18.076134  0.013378  9999.99 99.99   9999.9     99.9
 1.2086  312.8350512984320  +44.3467173213819     -2.9474  1.5761     -4.637  1.495     -3.320  1.460     1.122  20.881207  0.013389  22.685377  0.177877  19.767515  0.091208  9999.99 99.99   9999.9     99.9
 1.2283  312.8353570652289  +44.3507409169264      0.6670  0.2260     -1.249  0.227     -4.200  0.274     0.999  19.219290  0.003898  20.704624  0.101122  18.022833  0.013082  9999.99 99.99   9999.9     99.9
 1.2635  312.8780662534812  +44.3640839792013      0.1795  0.4481     -2.356  0.485     -5.540  0.489     1.166  19.976381  0.005316  21.228395  0.100158  18.638395  0.035144  9999.99 99.99   9999.9     99.9
 1.2701  312.8838979596394  +44.3610476688390      0.5866  0.2008     -4.386  0.217     -6.269  0.217     1.003  19.114760  0.003702  20.799986  0.108109  17.945850  0.012150  9999.99 99.99   9999.9     99.9
 1.2763  312.8334655785334  +44.3448737027974      0.1273  0.2284     -1.456  0.236     -2.488  0.260     1.064  19.184526  0.003633  20.579690  0.078955  17.983017  0.013053  9999.99 99.99   9999.9     99.9
 1.2781  312.8905548731751  +44.3374972905371      0.4050  0.4438     -3.234  0.460     -3.188  0.460     1.105  19.933529  0.005860  21.547215  0.179844  18.532015  0.025475  9999.99 99.99   9999.9     99.9
 1.2849  312.8346135760258  +44.3523195179161      0.3579  0.0545     -3.185  0.058     -4.621  0.063     0.984  16.903470  0.002858  18.223148  0.011003  15.753303  0.004140  9999.99 99.99   9999.9     99.9
 1.2881  312.8864468443040  +44.3323229247696     -0.3719  0.3897     -6.984  0.388     -5.269  0.397     1.103  19.812258  0.004952  21.228254  0.147770  18.527266  0.021517  9999.99 99.99   9999.9     99.9
 1.3045  312.8329543072927  +44.3435398904329      0.5177  0.2762     -1.568  0.281     -2.730  0.287     1.004  19.484655  0.004186  20.774286  0.100424  18.210440  0.024367  9999.99 99.99   9999.9     99.9
 1.3274  312.8788398090439  +44.3268183481035      1.0236  1.5004     -5.673  1.603     -3.881  1.077     1.002  20.860172  0.012747  21.802591  0.223718  19.681671  0.087797  9999.99 99.99   9999.9     99.9
 1.3393  312.8596111525389  +44.3680787291167      0.0891  0.5592     -2.503  0.548     -3.136  0.579     1.012  20.310024  0.006665  21.260414  0.175270  18.822905  0.039199  9999.99 99.99   9999.9     99.9
 1.3499  312.8730225868077  +44.3672711776214      1.1911  0.2360     -2.207  0.246     -3.065  0.256     1.030  19.175829  0.013755  20.949570  0.114928  17.951841  0.047622  9999.99 99.99   9999.9     99.9
